mrt_code,mrt_name,address,floor_type,room_num,price,size,floor,parking,link
R11,中山捷運站,台北市中山區南京東路一段132巷,整層住家,1,19300,12.18,4F/8F,無,//rent.591.com.tw/home/house/detail/2/9260861.html
R06,大安森林公園捷運站,台北市大安區建國南路一段,整層住家,1,41100,12.19,7F/14F,無,//rent.591.com.tw/home/house/detail/2/9454520.html
R10,台北車站捷運站,台北市中正區開封街一段,整層住家,1,28700,12.1,9F/14F,無,//rent.591.com.tw/home/house/detail/2/9245335.html
G09,古亭捷運站,台北市大安區和平東路一段50巷,整層住家,1,33800,12.21,2F/7F,無,//rent.591.com.tw/home/house/detail/2/9312594.html
G05,景美捷運站,台北市文山區景美街,整層住家,1,24100,12.26,11F/11F,無,//rent.591.com.tw/home/house/detail/2/9352106.html
G05,景美捷運站,台北市文山區景美街,整層住家,1,26300,12.26,11F/11F,無,//rent.591.com.tw/home/house/detail/2/9189482.html
BL19,永春捷運站,台北市信義區忠孝東路五段,整層住家,1,41800,12.27,9F/11F,無,//rent.591.com.tw/home/house/detail/2/9351204.html
R19,石牌捷運站,台北市北投區振興街,整層住家,1,26100,12.28,2F/8F,無,//rent.591.com.tw/home/house/detail/2/9404981.html
O10,中山國小捷運站,台北市中山區雙城街3巷,整層住家,1,20700,12.34,8F/15F,無,//rent.591.com.tw/home/house/detail/2/9230717.html
R04,信義安和捷運站,台北市大安區通化街,整層住家,1,27500,12.34,4F/5F,無,//rent.591.com.tw/home/house/detail/2/9391131.html
R04,信義安和捷運站,台北市大安區通化街112號,整層住家,1,27500,12.34,4F/5F,無,//rent.591.com.tw/home/house/detail/2/9396415.html
R11,中山捷運站,台北市中山區林森北路85巷,整層住家,1,16400,12.35,4F/5F,無,//rent.591.com.tw/home/house/detail/2/9305266.html
BR23,南港軟體園區捷運站,台北市南港區重陽路,整層住家,1,23700,12.38,6F/9F,無,//rent.591.com.tw/home/house/detail/2/9253521.html
O10,中山國小捷運站,台北市中山區林森北路,整層住家,1,20900,12.42,11F/12F,無,//rent.591.com.tw/home/house/detail/2/9369104.html
BR11,南京復興捷運站,台北市中山區遼寧街201巷,整層住家,6,68900,12.44,3F/3F,無,//rent.591.com.tw/home/house/detail/2/9424145.html
R11,中山捷運站,台北市中山區林森北路85巷,整層住家,1,15900,12.45,2F/5F,無,//rent.591.com.tw/home/house/detail/2/9249349.html
R04,信義安和捷運站,台北市信義區光復南路,整層住家,1,30200,12.48,9F/12F,無,//rent.591.com.tw/home/house/detail/2/9319219.html
R03,台北101/世貿捷運站,台北市信義區光復南路,整層住家,1,43000,12.49,2F/13F,無,//rent.591.com.tw/home/house/detail/2/9349220.html
O12,大橋頭捷運站,台北市大同區延平北路二段,整層住家,1,23700,12.53,7F/10F,無,//rent.591.com.tw/home/house/detail/2/9184445.html
BL16,忠孝敦化捷運站,台北市大安區敦化南路一段187巷37號,整層住家,1,38400,12.56,4F/8F,無,//rent.591.com.tw/home/house/detail/2/9410589.html
BL16,忠孝敦化捷運站,台北市大安區敦化南路一段187巷,整層住家,1,38400,12.56,4F/8F,無,//rent.591.com.tw/home/house/detail/2/9452503.html
BL16,忠孝敦化捷運站,台北市大安區敦化南路187巷,整層住家,1,38400,12.56,4F/8F,無,//rent.591.com.tw/home/house/detail/2/9373357.html
BR11,南京復興捷運站,台北市中山區八德路二段,整層住家,1,23100,12.5,3F/12F,無,//rent.591.com.tw/home/house/detail/2/9355983.html
R19,石牌捷運站,台北市士林區天母北路28巷,整層住家,1,29600,12.5,3F/9F,無,//rent.591.com.tw/home/house/detail/2/9374770.html
G07,公館捷運站,台北市中正區羅斯福路三段316巷,整層住家,1,43400,12.63,9F/10F,無,//rent.591.com.tw/home/house/detail/2/9436718.html
BL16,忠孝敦化捷運站,台北市大安區忠孝東路四段233號,整層住家,1,38600,12.63,9F/11F,無,//rent.591.com.tw/home/house/detail/2/9385812.html
BL16,忠孝敦化捷運站,台北市大安區忠孝東路四段,整層住家,1,38600,12.64,9F/11F,無,//rent.591.com.tw/home/house/detail/2/9399140.html
G15,松江南京捷運站,台北市中山區長安東路二段,整層住家,1,26300,12.65,8F/13F,無,//rent.591.com.tw/home/house/detail/2/9299196.html
O10,中山國小捷運站,台北市中山區雙城街,整層住家,1,30600,12.66,2F/15F,無,//rent.591.com.tw/home/house/detail/2/9350004.html
BL17,國父紀念館捷運站,台北市松山區八德路四段72巷,整層住家,1,24100,12.6,2F/7F,無,//rent.591.com.tw/home/house/detail/2/9378656.html
BL16,忠孝敦化捷運站,台北市大安區仁愛路四段,整層住家,1,37500,12.6,9F/14F,無,//rent.591.com.tw/home/house/detail/2/9281769.html
